['Mpp6', 0.8210809956807347]
['Dfna5', 0.8811407960357204]
['Osbpl3', 0.8712500395496477]
['Cycs', 0.4330469590316827]
['5430402O13Rik', 0.9223244569597728]
['4921507P07Rik', 0.8807514299699821]
['Npvf', 1.145118733509235]
['C530044C16Rik', 0.9543212463647609]
['Gm6559', 0.8134190025299968]
['Nfe2l3', 0.8870820366706141]
['Hnrnpa2b1', 0.7038626609442062]
['Cbx3', 0.7721828293585817]
['Snx10', 0.8722437073391875]
['Skap2', 0.9005940009421665]
['Halr1', 1.087567499289481]
['Hotairm1', 1.0]
['Hoxa2', 0.26315789473684253]
['Hoxaas2', 0.7936507936507937]
['Hoxa3', 0.9633410724901016]
['Hoxa4', 0.4516129032258059]
['Hoxaas3', 1.1799091940976163]
['Hoxa5', 1.3770491803278686]
['Hoxa6', 0.166666666666667]
['Hoxa7', 1.4693877551020407]
['Hoxa9', 0.9010773751224288]
['Hoxa10', 1.1904761904761905]
['Hoxa11', 1.0]
['Hoxa11os', 1.0588235294117645]
['Hoxa13', 1.0]
['Hottip', 1.010135135135135]
['Evx1os', 0.7740740740740739]
['Evx1', 0.9565217391304349]
['1700094M24Rik', 0.9289848849192714]
['Hibadh', 0.9471441780630253]
['Tax1bp1', 0.9019487312939954]
['Jazf1', 0.9279667978837167]
['Gm4872', 1.0278884462151392]
['9430076C15Rik', 0.9774455044626882]
['Creb5', 0.9221744607055138]
['Tril', 0.9966101694915253]
['Cpvl', 0.9027185672890481]
['4921529L05Rik', 0.892364966181468]
['Chn2', 0.9145517600317429]
['9130019P16Rik', 0.8499269003240931]
['Prr15', 1.0]
['Wipf3', 0.8941354925590117]
['Scrn1', 0.850582378291665]
['Fkbp14', 0.9465341209911791]
['Plekha8', 0.824439696167699]
['Mturn', 0.6985278902885573]
['Znrf2', 0.8925081592948081]
['Nod1', 0.9224364387058169]
['Ggct', 0.7788891940712536]
['Gars', 0.8802445447223692]
['Crhr2', 0.903439873054821]
['Inmt', 0.9545454545454547]
['Fam188b', 0.9490539846834077]
['Aqp1', 0.9295392953929539]
['Ghrhr', 0.9924324324324324]
['6430584L05Rik', 1.1296395911780523]
['Adcyap1r1', 0.9430166304363412]
['Neurod6', 0.9230769230769231]
['Gm3279', 0.7490413265323032]
['Ccdc129', 0.7856569931264358]
['Ppp1r17', 0.9317803660565723]
['Pde1c', 0.8722651096929962]
['Lsm5', 1.0325611888111887]
['Avl9', 0.9248304979997997]
['Kbtbd2', 0.7976274823759297]
['Fkbp9', 0.7871792265408538]
['Nt5c3', 0.8162062838023041]
['Vmn1r4', 0.7083333333333335]
['Vmn1r5', 1.3333333333333333]
['Vmn1r7', 0.96078431372549]
['Vmn1r8', 1.1290322580645167]
['Vmn1r11', 0.7142857142857143]
['Vmn1r13', 1.2857142857142858]
['Vmn1r14', 1.2413793103448276]
['Vmn1r15', 1.0]
['Ppm1k', 0.8713282535512179]
['Herc6', 0.8102768716645719]
['Pyurf', 0.9525101763907734]
['Lancl2', 0.941151255733824]
['Vopp1', 0.9168274897415705]
['Vmn1r27', 0.8333333333333335]
['Vmn1r29', 1.0]
['Vmn1r30', 1.0]
['Abcg2', 0.8115803734162162]
['Herc3', 0.922093574685459]
['Nap1l5', 0.6481481481481481]
['Fam13a', 0.8801637687770651]
['Tigd2', 0.913135593220339]
['Gprin3', 0.9908656809140356]
