3L	8336228	8352105	Cpr66Cb	0	7165	15877	15877	1.0000000
3L	14752730	14766183	Trl	0	6261	13453	13453	1.0000000
2R	13498812	13511713	drk	0	10035	12813	12901	0.9931788
3L	13920329	13932536	Rgl	0	3595	12207	12207	1.0000000
2L	8304218	8316319	Scgalpha	0	9555	12101	12101	1.0000000
3R	28597199	28608240	Noa36	0	13619	11041	11041	1.0000000
3L	15979882	15990851	brm	0	4357	10969	10969	1.0000000
2R	16095236	16105932	Dg	0	3445	10696	10696	1.0000000
X	15885413	15895449	tay	0	6092	10035	10036	0.9999003
3R	24810450	24821651	CG5807	0	4371	9923	11201	0.8859031
